pro_code,pro_name,city_clean,is_beijing,is_shanghai,male,birth_year,age,hs_residence,is_han,high_school,junior_college,bachelor,graduate,rural,Migrate,Migrate_1,Migrate_2,Migrate_3,migration_year,migration_interval,marriage,employed,income_total_m,exp_total_m,food_exp_m,income_to_home,rent_m,income_total_m_win,exp_total_m_win,food_exp_m_win,income_to_home_win,rent_m_win,employment_category,employment_group,workdays_w,workhours_d,hours_per_week,hours_per_week_filled,marriage_year,length_marriage,kids_number,birth_here,Pension_Insurance,Medical_Insurance,Work_Insurance,Unemploy_Insurance,Maternity_Insurance,Housing_Fund,Happiness,year,pro_name_true,English_name,lowest_temp(Jan)_a,average_temp_a,highest_temp(July)_a,precipitation(mm)_a,gdp per capita(k)_a,unemployment(%)_a,education_budget(10k)_a,marriage(10k)_a,population(10k)_a,Medical technicians per 10k_a,road_length_per_10K (km)_a,manageable_income_per_capita_a,lowest_temp(Jan)_b,average_temp_b,highest_temp(July)_b,precipitation(mm)_b,gdp per capita(k)_b,unemployment(%)_b,education_budget(10k)_b,marriage(10k)_b,population(10k)_b,Medical technicians per 10k_b,road_length_per_10K (km)_b,manageable_income_per_capita_b,gdp_before_move,gdp_after_move
11,北京市,北京市,1,0,0,1977,34,22.0,1,1,0,0,0,1,1,1,0,0,2004,7,1,1,2500.0,2000.0,500.0,3000.0,,2500,2000,500,3000,0.0,other,informal,,,,0.0,2005.0,6,0,0,0,0,0,0,0,0,9,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-18.67,5.8,26.31,531.4,39.5,3.4,5353180.0,23.52,3608.0,55.0,6.167247739832114,17404.0,19892.5502093472,8128.198406163446
11,北京市,北京市,1,0,0,1987,24,13.0,1,1,0,0,0,1,1,1,0,0,2005,6,0,0,3000.0,2000.0,500.0,5000.0,500.0,3000,2000,500,5000,500.0,public_sector,formal,5.0,8.0,40.0,40.0,,0,0,0,1,1,0,0,0,0,12,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-7.47,13.1,31.42,532.1,37.3,3.6,10861672.0,66.13,2449.0,62.0,16.69491740350928,20559.0,19892.5502093472,9179.320415083306
11,北京市,北京市,1,0,0,1982,29,13.0,1,0,1,0,0,1,1,1,0,0,2006,5,0,0,6000.0,4000.0,1000.0,10000.0,2000.0,6000,4000,1000,10000,1600.0,self_employed,self_employed,,,,0.0,,0,0,0,1,1,0,0,0,0,12,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-7.47,13.1,31.42,532.1,37.3,3.6,10861672.0,66.13,2449.0,62.0,16.69491740350928,20559.0,19892.5502093472,10637.66793207404
11,北京市,北京市,1,0,1,1964,47,33.0,1,1,0,0,0,1,1,1,0,0,1998,13,1,1,20000.0,10000.0,4000.0,5000.0,,9000,4500,2000,5000,0.0,private_enterprise,formal,,,,0.0,1991.0,20,3,0,1,1,0,0,0,0,12,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,3.02,18.5,33.68,1613.4,76.0,3.0,16079755.0,43.68,5890.0,68.0,7.406184792191322,32658.0,19892.5502093472,3373.866862894452
11,北京市,北京市,1,0,1,1980,31,45.0,1,0,0,1,0,0,1,1,0,0,1998,13,1,0,8000.0,5000.0,1000.0,10000.0,2400.0,8000,4500,1000,10000,1600.0,public_sector,formal,5.0,9.0,45.0,45.0,2010.0,1,0,0,1,1,1,1,1,1,15,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,9.29,22.2,32.85,1289.7,32.0,3.2,8586224.0,47.23,2531.0,49.0,7.171913076923978,12185.0,19892.5502093472,3373.866862894452
11,北京市,北京市,1,0,0,1966,45,41.0,1,1,0,0,0,1,1,1,0,0,2006,5,0,0,1460.0,780.0,300.0,8000.0,350.0,1460,780,300,8000,350.0,public_sector,formal,6.0,8.0,48.0,48.0,1988.0,23,2,0,0,0,0,0,0,0,13,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-3.69,15.1,31.79,640.8,39.8,3.0,16385611.0,117.58,9645.0,52.0,3.9215300951211325,15695.0,19892.5502093472,10637.66793207404
11,北京市,北京市,1,0,1,1970,41,13.0,1,0,0,1,0,0,1,1,0,0,2003,8,1,1,12000.0,4000.0,1000.0,10000.0,3000.0,9000,4000,1000,10000,1600.0,private_enterprise,formal,5.0,8.0,40.0,40.0,1991.0,20,1,0,1,1,0,0,0,0,14,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-7.47,13.1,31.42,532.1,37.3,3.6,10861672.0,66.13,2449.0,62.0,16.69491740350928,20559.0,19892.5502093472,6846.230659788841
11,北京市,北京市,1,0,0,1976,35,34.0,1,1,0,0,0,1,1,1,0,0,1995,16,1,1,10000.0,6000.0,2000.0,5000.0,,9000,4500,2000,5000,0.0,other,informal,,,,0.0,1999.0,12,2,0,0,0,0,0,0,0,13,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,3.02,18.5,33.68,1613.4,41.2,3.2,10457811.0,79.89,5997.0,44.0,3.9573394079340884,16796.0,19892.5502093472,2876.481771843423
11,北京市,北京市,1,0,0,1977,34,64.0,0,0,1,0,0,0,1,1,0,0,2007,4,1,1,10000.0,5000.0,1500.0,20000.0,2000.0,9000,4500,1500,11000,1600.0,private_enterprise,formal,5.0,12.0,60.0,60.0,1999.0,12,1,0,1,1,0,1,1,1,15,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,-12.76,9.9,29.94,182.9,39.3,4.0,1697964.0,5.6,678.0,60.0,13.872172846315163,15907.0,19892.5502093472,13125.60506340697
11,北京市,北京市,1,0,1,1967,44,44.0,1,1,0,0,0,0,1,1,0,0,2000,11,1,1,10000.0,5000.0,1000.0,3000.0,2000.0,9000,4500,1000,3000,1600.0,public_sector,formal,,,,0.0,2000.0,11,1,0,0,0,0,0,0,0,10,2011,北京市,Beijing,-7.47,13.1,31.42,532.1,118.0,1.3,10937374.0,17.0,2171.0,99.0,10.093113273266312,44489.0,10.54,22.9,33.2,1801.3,66.9,2.4,27356552.0,89.15,11489.0,54.0,5.634503004760984,25685.0,19892.5502093472,4421.234449630841
